Sr_No,UPI_Beneficiary_Banks,Date,Approved_percent,Deemed_Approved_percent,Bank_Decline_percent,Technical_Decline_percent,Total_Volume_In_Mn
48,Andhra Pragathi Grameena Bank,2024-04-01 00:00:00,0.9543,0.0012,0.0117,0.034,9.29
45,Baroda U.P. Bank,2023-04-01 00:00:00,0.9543,0.0023,0.0229,0.0206,7.15
34,Equitas Bank,2023-01-01 00:00:00,0.9543,0.002,0.024,0.0197,11.81
24,IDFC First Bank,2022-06-01 00:00:00,0.9544,0.0051,0.0143,0.0261,25.28
47,Andhra Pragathi Grameena Bank,2023-03-01 00:00:00,0.9545,0.0006,0.0071,0.0378,6.39
38,Cosmos Bank,2024-06-01 00:00:00,0.9546,0.006,0.0007,0.0447,15.14
40,Andhra Pradesh Grameena Vikas Bank,2023-04-01 00:00:00,0.9546,0.0101,0.0091,0.0261,9.21
49,Fincare Small Finance Bank,2024-06-01 00:00:00,0.9548,0.0008,0.0417,0.0035,9.22
35,Tri O Tech Solutions Private Limited,2023-12-01 00:00:00,0.955,0,0.0449,0.0001,16.54
43,Jammu and Kashmir Bank,2022-02-01 00:00:00,0.9553,0.0048,0.0172,0.0227,4.13
27,Bandhan Bank,2022-09-01 00:00:00,0.9556,0.0031,0.0043,0.0401,18.89
38,Jammu and Kashmir Bank,2022-11-01 00:00:00,0.9556,0.0025,0.0061,0.0357,8.27
23,IDFC First Bank,2022-08-01 00:00:00,0.9557,0.0021,0.028,0.0164,33.5
37,Andhra Pradesh Grameena Vikas Bank,2022-03-01 00:00:00,0.9559,0.0138,0.0012,0.0291,6.99
49,Andhra Pragathi Grameena Bank,2024-11-01 00:00:00,0.9563,0.0027,0.0024,0.0412,10.41
32,DBS Bank,2022-01-01 00:00:00,0.9563,0.0027,0.0344,0.0065,8.68
32,Tri O Tech Solutions Private Limited,2024-10-01 00:00:00,0.9565,0,0.0435,0,33.06
33,Equitas Bank,2022-08-01 00:00:00,0.9566,0.0029,0.0206,0.0228,10.53
38,Jammu and Kashmir Bank,2022-08-01 00:00:00,0.9567,0.0017,0.0073,0.036,7.09
35,Pragathi Krishna Gramin Bank,2022-05-01 00:00:00,0.957,0.0107,0.0031,0.0292,8.2
49,Fincare Small Finance Bank,2024-01-01 00:00:00,0.9571,0.0004,0.0271,0.0157,7.98
19,Fino Payments Bank,2024-11-01 00:00:00,0.9572,0.0006,0.0412,0.0016,93.78
47,Andhra Pragathi Grameena Bank,2023-12-01 00:00:00,0.9575,0.0018,0.0102,0.0322,7.8
44,Rajasthan Marudhara Gramin Bank,2022-08-01 00:00:00,0.9579,0.0081,0.0069,0.0352,5.76
33,Ujjivan Small Finance Bank,2022-11-01 00:00:00,0.958,0.0029,0.0029,0.0362,11.14
17,Central Bank of India,2022-10-01 00:00:00,0.9582,0.0094,0.0062,0.0262,62.34
32,RBL,2023-11-01 00:00:00,0.9583,0.0031,0.0055,0.0362,44.4
50,Standard Chartered,2022-01-01 00:00:00,0.9583,0.0028,0.0267,0.0123,3.05
27,Bandhan Bank,2022-04-01 00:00:00,0.9584,0.0015,0.0055,0.0345,16.07
44,Rajasthan Marudhara Gramin Bank,2023-03-01 00:00:00,0.9585,0.0032,0.0038,0.0345,7.39
14,Indian Bank,2023-09-01 00:00:00,0.9586,0.0062,0.0071,0.0343,159.64
2,State Bank of India,2022-06-01 00:00:00,0.9587,0.0021,0.0029,0.0364,764.66
50,Fincare Small Finance Bank,2023-12-01 00:00:00,0.959,0.0001,0.0192,0.0217,7.26
36,Punjab and Sind Bank,2024-03-01 00:00:00,0.9593,0.0085,0.0126,0.0281,16.2
